dd_mm_yyyy;daily_cases;total_cases;daily_recoveries;total_recoveries;daily_deaths;total_deaths;daily_tests;daily_first_dose_vaccinations;daily_second_dose_vaccinations;total_second_dose_vaccinations;total_boosters;total_vaccinations;vaccine_type;daily_deaths_over_total_second_dose_vaccinations_per_million;daily_cases_over_total_second_dose_vaccinations_per_million
31.08.2021;21893;6388331;14106;5837217;252;56710;297167;48271065;324020;37089601;8806888;94167554;BioNTech, Sinovac;7;590
1.09.2021;23946;6412277;15164;5852381;290;57000;302869;48563507;278507;37368108;8942269;94873884;BioNTech, Sinovac;8;641
2.09.2021;23496;6435773;20004;5872385;283;57283;305047;48854935;277064;37645172;9065199;95565306;BioNTech, Sinovac;8;624
3.09.2021;22857;6458630;14527;5886912;276;57559;304530;49197925;331628;37976800;9203658;96378383;BioNTech, Sinovac;7;602
4.09.2021;20033;6478663;19464;5906376;278;57837;283385;49376328;164642;38141442;9243438;96761208;BioNTech, Sinovac;7;525
5.09.2021;19391;6498054;24289;5930665;269;58106;279063;49551529;146887;38288329;9273439;97113297;BioNTech, Sinovac;7;506
6.09.2021;20962;6519016;29327;5959992;271;58377;301164;49946816;340416;38628745;9406034;97981595;BioNTech, Sinovac;7;543
7.09.2021;23638;6542654;34402;5994394;274;58651;304864;50324643;349796;38978541;9525462;98828646;BioNTech, Sinovac;7;606
8.09.2021;23914;6566568;30103;6024497;262;58913;308437;50648789;319855;39298396;9635422;99582607;BioNTech, Sinovac;7;609
9.09.2021;23846;6590414;31322;6055819;257;59170;314793;50930700;301452;39599848;9737377;100267925;BioNTech, Sinovac;6;602
10.09.2021;23562;6613976;35083;6090902;214;59384;318835;51234095;363388;39963236;9851336;101048667;BioNTech, Sinovac;5;590
11.09.2021;22923;6636899;30144;6121046;259;59643;314046;51411717;195137;40158373;9884664;101454754;BioNTech, Sinovac;6;571
12.09.2021;21352;6658251;25616;6146662;243;59886;310546;51536013;147339;40305712;9906933;101748658;BioNTech, Sinovac;6;530
13.09.2021;24613;6682864;26052;6172714;231;60117;319110;51780811;330212;40635924;10014872;102431607;BioNTech, Sinovac;6;606
